name,latitude,longitude,time_slot_start,time_slot_end
Hotel El Djazair,36.7563,3.0508,08:00,22:00
Sofitel Algiers Hamma Garden,36.7510,3.0693,07:00,23:00
Hotel Mercure Alger Aéroport,36.6940,3.2150,00:00,23:59
Hôtel Aurassi,36.7538,3.0441,06:00,23:00
Sheraton Club des Pins,36.6860,2.9140,07:00,23:00
Hotel Ibis Algiers Aéroport,36.6945,3.2175,00:00,23:59
Hotel Albert 1er,36.7778,3.0594,08:00,22:00
Hotel Transatlantique,36.7780,3.0600,08:00,22:00
Hotel Hilton Alger,36.7507,3.0700,06:00,23:59
Les Zianides Hotel,36.7860,3.0570,08:00,21:00
