id,name,interest_score,latitude,longitude
1,Casbah of Algiers,95,36.7878,3.0600
2,Notre-Dame d'Afrique,88,36.8050,3.0412
3,Martyrs' Memorial (Maqam Echahid),92,36.7539,3.0441
4,Algiers Botanical Garden (Hamma Garden),80,36.7502,3.0697
5,Ketchaoua Mosque,85,36.7858,3.0590
6,Great Mosque of Algiers,90,36.7797,3.0598
7,Bardo National Museum,82,36.7603,3.0458
8,National Museum of Fine Arts,78,36.7610,3.0541
9,Riadh El Feth Complex,75,36.7538,3.0438
10,Jardin d'Essai du Hamma,80,36.7505,3.0695
11,Algiers Waterfront (Corniche),85,36.7756,3.0606
12,Palais des Raïs (Bastion 23),79,36.7838,3.0558
13,Place des Martyrs,77,36.7846,3.0590
14,Algiers Port & Harbor View,72,36.7790,3.0640
15,El Harrach Promenade,65,36.7197,3.1330
16,Sacré-Cœur Basilica Ruins,70,36.7600,3.0420
17,Ahmed Zabana National Museum,76,36.7614,3.0537
18,Monument of the African Union,68,36.7535,3.0432
19,Algiers Zoo,62,36.7500,3.0690
20,Sidi Abderrahmane Shrine,80,36.7862,3.0572
