solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,timed_out,error,instance,group,n_landmarks,time_budget,run_id
Greedy,32.4,0.003786300017964095,True,4,475.91954355309963,,False,,Algiers,Algiers,56,480,0
SA-Boltzmann,52.4,0.07717200001934543,True,6,479.74380839639593,,False,,Algiers,Algiers,56,480,0
SA-Boltzmann,58.1,0.0742055999871809,True,7,478.741534682786,,False,,Algiers,Algiers,56,480,1
SA-Cauchy,52.6,0.06314839998958632,True,6,468.49409748520577,,False,,Algiers,Algiers,56,480,1
SA-Cauchy,58.8,0.0756204999925103,True,7,462.12088801626646,,False,,Algiers,Algiers,56,480,0
SA-Boltzmann,50.5,0.1230611999926623,True,6,458.98432621398206,,False,,Algiers,Algiers,56,480,2
SA-Cauchy,52.0,0.07986589998472482,True,6,473.68973501398864,,False,,Algiers,Algiers,56,480,2
SA,51.6,0.060460700013209134,True,6,470.44262825967655,,False,,Algiers,Algiers,56,480,0
SA-Cauchy,60.3,0.0837586999987252,True,7,477.45382602618906,,False,,Algiers,Algiers,56,480,3
SA-Boltzmann,42.9,0.12117729999590665,True,5,478.6252966196266,,False,,Algiers,Algiers,56,480,3
SA-Cauchy,69.5,0.08605000001261942,True,8,474.0251872892112,,False,,Algiers,Algiers,56,480,4
SA,33.3,0.07697639998514205,True,4,470.2527319865766,,False,,Algiers,Algiers,56,480,1
SA-Boltzmann,52.6,0.13770590000785887,True,6,373.95346001645055,,False,,Algiers,Algiers,56,480,4
SA,50.300000000000004,0.07408359998953529,True,6,456.76168096058143,,False,,Algiers,Algiers,56,480,3
SA,35.8,0.07985359997837804,True,4,325.9642817062122,,False,,Algiers,Algiers,56,480,4
SA,60.7,0.16011160000925884,True,7,478.3343089836418,,False,,Algiers,Algiers,56,480,2
Tabu,90.0,1.3771015999955125,True,10,476.3758573774862,,False,,Algiers,Algiers,56,480,0
Tabu-Random,89.7,1.3841706000093836,True,10,478.5863753810047,,False,,Algiers,Algiers,56,480,0
Tabu-Random,89.4,1.5216203999880236,True,10,477.9654908547959,,False,,Algiers,Algiers,56,480,3
Tabu-Random,89.4,1.5533730000024661,True,10,477.30824938008936,,False,,Algiers,Algiers,56,480,1
Tabu-Random,89.4,1.6613320000178646,True,10,474.7186757870887,,False,,Algiers,Algiers,56,480,2
Tabu-Random,90.0,1.668919800024014,True,10,478.868414902607,,False,,Algiers,Algiers,56,480,4
Genetic-Tailored,89.4,13.460157900000922,True,10,472.2881828761824,,False,,Algiers,Algiers,56,480,4
Genetic-Tailored,90.0,15.265833300014492,True,10,476.57964826694536,,False,,Algiers,Algiers,56,480,0
Genetic-Tailored,90.0,16.630340200004866,True,10,477.3676192248439,,False,,Algiers,Algiers,56,480,2
Genetic-Tailored,90.0,22.074303500005044,True,10,476.37720442381897,,False,,Algiers,Algiers,56,480,3
Genetic-Tailored,90.0,24.34450380000635,True,10,477.511070629859,,False,,Algiers,Algiers,56,480,1
GRASP,90.0,44.10533399999258,True,10,476.6438664368535,,False,,Algiers,Algiers,56,480,4
GRASP,90.0,48.80414180000662,True,10,476.48013869145996,,False,,Algiers,Algiers,56,480,0
GRASP,90.0,51.27256079998915,True,10,476.3454897779719,,False,,Algiers,Algiers,56,480,1
GRASP,90.0,52.6471400000155,True,10,476.3454897779719,,False,,Algiers,Algiers,56,480,2
GRASP,90.0,54.23939159998554,True,10,476.1817620325784,,False,,Algiers,Algiers,56,480,3
CPLEX,69.9,61.31514329998754,True,8,464.5410759156076,,False,,Algiers,Algiers,56,480,0
Genetic-Score,420.3,265.27918369998224,False,50,479.3052986402233,,True,,Algiers,Algiers,56,480,2
Genetic-Score,420.3,323.78104450000683,False,50,479.3052986402233,,True,,Algiers,Algiers,56,480,1
Genetic-Score,420.3,346.9303843000089,False,50,645.4170626349987,,True,,Algiers,Algiers,56,480,4
Genetic-Score,420.3,439.45921839997754,False,50,536.0417906561709,,True,,Algiers,Algiers,56,480,3
Genetic-Score,420.3,461.66553869997733,False,50,803.2996974167568,,True,,Algiers,Algiers,56,480,0
