solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,timed_out,error,instance,group,n_landmarks,time_budget,run_id
Greedy-Random,50.0,0.003150800010189414,True,3,1162.02775637732,84.38,False,,c101,Solomon-100,100,1236,3
Greedy-Random,30.0,0.00348319998010993,True,3,1205.02775637732,90.62,False,,c101,Solomon-100,100,1236,1
Greedy-Random,70.0,0.0042119999416172504,True,4,1175.6006410287707,78.12,False,,c101,Solomon-100,100,1236,0
Greedy-Random,60.0,0.004946000059135258,True,5,1201.02775637732,81.25,False,,c101,Solomon-100,100,1236,2
Greedy-Random,90.0,0.006231000064872205,True,5,1162.02775637732,71.88,False,,c101,Solomon-100,100,1236,4
Greedy-Ratio,160.0,0.017131600063294172,True,8,1162.02775637732,50.0,False,,c101,Solomon-100,100,1236,0
Greedy-Score,230.0,0.0274704999756068,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.16430850001052022,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.1697273999452591,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,3
SA-Boltzmann,230.0,0.17621259996667504,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.17039890005253255,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,4
SA-Cauchy,240.0,0.18412220000755042,True,10,1145.953523924573,25.0,False,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.2741844999836758,True,7,1228.5687760398168,28.12,False,,c101,Solomon-100,100,1236,2
SA-Cauchy,290.0,0.18304069992154837,True,10,1174.4289326061514,9.38,False,,c101,Solomon-100,100,1236,1
SA-Cauchy,250.0,0.1721669000107795,True,9,1228.5687760398168,21.88,False,,c101,Solomon-100,100,1236,2
SA-Cauchy,260.0,0.1927733999909833,True,9,1066.524492177089,18.75,False,,c101,Solomon-100,100,1236,3
SA-Cauchy,250.0,0.2509893999667838,True,8,1102.8113883008418,21.88,False,,c101,Solomon-100,100,1236,4
