solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,error,instance,group,n_landmarks,time_budget,run_id,timed_out
CPLEX,126.0,0.9366535000153817,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,0,
CPLEX,270.0,1.1714590000046883,True,11,1222.3385700250624,0.0,,c101,Solomon-50,50,1236,0,
CPLEX,180.0,4.07996929998626,True,9,222.0983753876835,0.0,,rc101,Solomon-50,50,240,0,
CPLEX,159.0,2.072001900000032,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,0,
CPLEX,280.0,2.951183099998161,True,11,1233.3691881435836,0.0,,c106,Solomon-50,50,1236,0,
Greedy,79.0,0.0027529000071808696,True,3,202.8028775489157,37.3,,r101,Solomon-50,50,230,0,False
SA-Boltzmann,96.0,0.09510090001276694,True,5,180.18033988749895,23.81,,r101,Solomon-50,50,230,1,False
SA-Boltzmann,57.0,0.11563930002739653,True,4,186.23154621172782,54.76,,r101,Solomon-50,50,230,4,False
SA-Boltzmann,64.0,0.11834089999319986,True,4,181.3658667349462,49.21,,r101,Solomon-50,50,230,3,False
SA-Boltzmann,61.0,0.14868419998674653,True,5,186.26713264872933,51.59,,r101,Solomon-50,50,230,0,False
SA-Boltzmann,82.0,0.1316274999990128,True,5,208.34270962725677,34.92,,r101,Solomon-50,50,230,2,False
SA-Cauchy,88.0,0.13413400002173148,True,5,188.85967021719034,30.16,,r101,Solomon-50,50,230,0,False
SA-Cauchy,71.0,0.11137519998010248,True,3,202.8028775489157,43.65,,r101,Solomon-50,50,230,4,False
SA-Cauchy,82.0,0.14028329998836853,True,4,187.16163384862384,34.92,,r101,Solomon-50,50,230,3,False
SA-Cauchy,96.0,0.20249880000483245,True,4,209.69260967432322,23.81,,r101,Solomon-50,50,230,1,False
SA-Cauchy,78.0,0.2206995000015013,True,4,194.01698969098277,38.1,,r101,Solomon-50,50,230,2,False
Tabu-Random,118.0,0.5323655999964103,True,5,180.18033988749895,6.35,,r101,Solomon-50,50,230,0,False
Tabu,126.0,0.6227957000082824,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,0,False
Tabu-Random,126.0,0.5866003000119235,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,2,False
Tabu-Random,126.0,0.5908179999969434,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,4,False
Tabu-Random,126.0,0.6550825000158511,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,1,False
Tabu-Random,126.0,0.7387763999868184,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,3,False
Greedy,90.0,0.0051694999856408685,True,4,1162.02775637732,66.67,,c101,Solomon-50,50,1236,0,False
GRASP,114.0,1.1573050000006333,True,4,202.8028775489157,9.52,,r101,Solomon-50,50,230,0,False
GRASP,120.0,1.226223600009689,True,6,219.6831552862278,4.76,,r101,Solomon-50,50,230,3,False
GRASP,120.0,1.2745561999909114,True,6,219.6831552862278,4.76,,r101,Solomon-50,50,230,2,False
GRASP,114.0,1.321250000008149,True,4,202.8028775489157,9.52,,r101,Solomon-50,50,230,4,False
GRASP,120.0,1.5775934999983292,True,6,219.6831552862278,4.76,,r101,Solomon-50,50,230,1,False
SA-Boltzmann,180.0,0.13294239999959245,True,6,1162.02775637732,33.33,,c101,Solomon-50,50,1236,0,False
SA-Boltzmann,230.0,0.14991330000339076,True,9,1154.7573645086422,14.81,,c101,Solomon-50,50,1236,1,False
SA-Boltzmann,190.0,0.1513115999987349,True,7,1162.02775637732,29.63,,c101,Solomon-50,50,1236,2,False
SA-Boltzmann,180.0,0.14848760000313632,True,6,1162.02775637732,33.33,,c101,Solomon-50,50,1236,3,False
SA-Boltzmann,180.0,0.1501459999999497,True,6,1162.02775637732,33.33,,c101,Solomon-50,50,1236,4,False
SA-Cauchy,220.0,0.1570334999996703,True,10,1201.02775637732,18.52,,c101,Solomon-50,50,1236,0,False
SA-Cauchy,220.0,0.15428019998944364,True,8,1025.5941170815568,18.52,,c101,Solomon-50,50,1236,1,False
SA-Cauchy,230.0,0.1561611999932211,True,10,1141.7226935352935,14.81,,c101,Solomon-50,50,1236,2,False
SA-Cauchy,230.0,0.16956919999211095,True,10,1162.02775637732,14.81,,c101,Solomon-50,50,1236,3,False
SA-Cauchy,240.0,0.14403659998788498,True,9,1171.3898977931267,11.11,,c101,Solomon-50,50,1236,4,False
Genetic-Tailored,126.0,3.646433700021589,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,0,False
Genetic-Tailored,126.0,3.6710567999980412,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,1,False
Tabu,250.0,0.9584140999941155,True,8,1038.6287880549055,7.41,,c101,Solomon-50,50,1236,0,False
Genetic-Tailored,118.0,3.884718699991936,True,5,180.18033988749895,6.35,,r101,Solomon-50,50,230,4,False
Genetic-Tailored,126.0,4.027845699980389,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,2,False
Genetic-Tailored,126.0,4.019858399988152,True,5,202.8028775489157,0.0,,r101,Solomon-50,50,230,3,False
Tabu-Random,240.0,0.8743290000129491,True,8,1038.6287880549055,11.11,,c101,Solomon-50,50,1236,0,False
Tabu-Random,250.0,0.953734800015809,True,9,1054.3876591276025,7.41,,c101,Solomon-50,50,1236,1,False
Tabu-Random,250.0,1.0308166999893729,True,9,1054.3876591276025,7.41,,c101,Solomon-50,50,1236,2,False
Tabu-Random,240.0,0.9613870999892242,True,8,1038.6287880549055,11.11,,c101,Solomon-50,50,1236,3,False
Tabu-Random,250.0,0.9869106000114698,True,9,1054.3876591276025,7.41,,c101,Solomon-50,50,1236,4,False
GRASP,270.0,6.016844800004037,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,3,False
GRASP,270.0,6.3298805999802426,True,10,1162.02775637732,0.0,,c101,Solomon-50,50,1236,1,False
GRASP,270.0,6.643131099990569,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,0,False
GRASP,270.0,6.50075539998943,True,10,1162.02775637732,0.0,,c101,Solomon-50,50,1236,2,False
GRASP,270.0,6.503129999997327,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,4,False
Greedy,100.0,0.003704999980982393,True,4,218.25920541681847,44.44,,rc101,Solomon-50,50,240,0,False
Genetic-Tailored,270.0,6.499647299991921,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,0,False
Genetic-Tailored,270.0,6.431289700005436,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,1,False
Genetic-Tailored,270.0,6.770513600000413,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,3,False
GRASP,180.0,4.217564599995967,True,7,208.12658056650537,0.0,,rc101,Solomon-50,50,240,0,False
Genetic-Tailored,260.0,9.220642100000987,True,10,1162.02775637732,3.7,,c101,Solomon-50,50,1236,4,False
SA-Boltzmann,150.0,0.09973610000452027,True,7,218.32823832643615,16.67,,rc101,Solomon-50,50,240,0,False
SA-Boltzmann,110.0,0.09323570001288317,True,4,226.04442251822084,38.89,,rc101,Solomon-50,50,240,1,False
SA-Boltzmann,110.0,0.1050900999980513,True,4,226.04442251822084,38.89,,rc101,Solomon-50,50,240,2,False
SA-Boltzmann,110.0,0.09239570001955144,True,4,226.04442251822084,38.89,,rc101,Solomon-50,50,240,3,False
GRASP,180.0,3.984754899982363,True,8,233.88140213389795,0.0,,rc101,Solomon-50,50,240,1,False
SA-Boltzmann,120.0,0.10794119999627583,True,6,203.18457706741833,33.33,,rc101,Solomon-50,50,240,4,False
SA-Cauchy,110.0,0.09888169998885132,True,4,226.04442251822084,38.89,,rc101,Solomon-50,50,240,0,False
SA-Cauchy,130.0,0.12343769997823983,True,7,229.8384340923544,27.78,,rc101,Solomon-50,50,240,1,False
SA-Cauchy,140.0,0.13200280000455678,True,8,238.81678449024363,22.22,,rc101,Solomon-50,50,240,2,False
SA-Cauchy,130.0,0.10225289998925291,True,6,226.04442251822084,27.78,,rc101,Solomon-50,50,240,3,False
SA-Cauchy,110.0,0.1115593999857083,True,4,226.04442251822084,38.89,,rc101,Solomon-50,50,240,4,False
GRASP,180.0,4.119043999991845,True,8,236.4410956249874,0.0,,rc101,Solomon-50,50,240,2,False
Tabu,170.0,0.578158499993151,True,8,219.49740279482674,5.56,,rc101,Solomon-50,50,240,0,False
