solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,error,instance,group,n_landmarks,time_budget,run_id
Greedy-Ratio,160.0,0.013452499988488853,True,8,1162.02775637732,50.0,,c101,Solomon-100,100,1236,0
Greedy-Score,230.0,0.019643699983134866,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.14321290000225417,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.14778329999535345,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.14803240000037476,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,3
SA-Boltzmann,230.0,0.14577999999164604,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,4
SA-Cauchy,260.0,0.15597399999387562,True,9,1162.02775637732,18.75,,c101,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.18158170001697727,True,7,1228.5687760398168,28.12,,c101,Solomon-100,100,1236,2
SA-Cauchy,240.0,0.151210899988655,True,10,1139.4848220743497,25.0,,c101,Solomon-100,100,1236,1
SA-Cauchy,240.0,0.16025799998897128,True,9,1228.5687760398168,25.0,,c101,Solomon-100,100,1236,3
SA-Cauchy,270.0,0.16750609999871813,True,10,1228.5687760398168,15.62,,c101,Solomon-100,100,1236,2
SA-Cauchy,270.0,0.1603832999826409,True,8,1102.8113883008418,15.62,,c101,Solomon-100,100,1236,4
Tabu,270.0,1.0355191999988165,True,7,935.6155281280883,15.62,,c101,Solomon-100,100,1236,0
Tabu,270.0,1.136014299991075,True,7,935.6155281280883,15.62,,c101,Solomon-100,100,1236,2
Tabu,270.0,1.0445028999820352,True,7,935.6155281280883,15.62,,c101,Solomon-100,100,1236,4
Tabu,270.0,1.06383279999136,True,7,935.6155281280883,15.62,,c101,Solomon-100,100,1236,3
Tabu,270.0,1.1845864000206348,True,7,935.6155281280883,15.62,,c101,Solomon-100,100,1236,1
Genetic-Tailored,310.0,6.6042718999960925,True,10,1154.091570569841,3.12,,c101,Solomon-100,100,1236,2
GRASP,310.0,8.418485600006534,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,3
Genetic-Tailored,310.0,8.277028200012865,True,10,1165.177205037372,3.12,,c101,Solomon-100,100,1236,0
GRASP,310.0,8.88445040001534,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,4
Greedy-Score,300.0,0.016289899998810142,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,0
GRASP,310.0,8.906305499986047,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,1
Greedy-Ratio,180.0,0.010805800004163757,True,8,1159.7027129975631,50.0,,c102,Solomon-100,100,1236,0
GRASP,310.0,9.167363599990495,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,0
GRASP,310.0,9.291568099986762,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,2
Genetic-Tailored,310.0,8.404639699991094,True,9,1154.091570569841,3.12,,c101,Solomon-100,100,1236,4
Genetic-Tailored,300.0,8.579979700007243,True,10,1154.091570569841,6.25,,c101,Solomon-100,100,1236,3
Genetic-Tailored,320.0,9.70490620000055,True,10,1154.091570569841,0.0,,c101,Solomon-100,100,1236,1
